_id,latitude,longitude
6907d61c6b190e0ccf67b769,-2.4135692,115.2111472
6907d61c6b190e0ccf67b76a,40.9271303,22.0160467
6907d61c6b190e0ccf67b76b,31.319438,-92.4672927
6907d61c6b190e0ccf67b76c,9.128588,124.672209
6907d61c6b190e0ccf67b76d,48.5129473,2.6780176
6907d61c6b190e0ccf67b76e,28.970079,118.859457
6907d61c6b190e0ccf67b76f,23.2462521,113.0030017
6907d61c6b190e0ccf67b770,-2.9252,119.9413
6907d61c6b190e0ccf67b771,40.2487413,72.1297653
6907d61c6b190e0ccf67b772,53.0637214,26.6392615
6907d61c6b190e0ccf67b773,-2.8850378,32.2313539
6907d61c6b190e0ccf67b774,38.4832851,-9.1025502
6907d61c6b190e0ccf67b775,-8.4929791,119.0110762
6907d61c6b190e0ccf67b776,29.375859,47.9774052
6907d61c6b190e0ccf67b777,30.378326,111.450006
6907d61c6b190e0ccf67b778,50.6514963,21.2602765
6907d61c6b190e0ccf67b779,-6.719137,108.4703138
6907d61c6b190e0ccf67b77a,-7.3511436,112.7688416
6907d61c6b190e0ccf67b77b,22.354385,110.947043
6907d61c6b190e0ccf67b77c,54.3171885,10.0477345
6907d61c6b190e0ccf67b77d,38.4361809,57.4287899
6907d61c6b190e0ccf67b77e,59.2954052,17.967939
6907d61c6b190e0ccf67b77f,-7.5740867,112.28609
6907d61c6b190e0ccf67b780,30.779444,120.00922
6907d61c6b190e0ccf67b781,19.379122,-99.1097687
6907d61c6b190e0ccf67b782,-29.6880479,-51.1333376
6907d61c6b190e0ccf67b783,54.589538,85.9917785
6907d61c6b190e0ccf67b784,51.8113447,-8.3929404
6907d61c6b190e0ccf67b785,5.9368109,80.5148127
6907d61c6b190e0ccf67b786,-6.416667,-77.8833329
6907d61c6b190e0ccf67b787,15.9655291,120.4032998
6907d61c6b190e0ccf67b788,41.3627611,-8.456321
6907d61c6b190e0ccf67b789,32.23483,119.797634
6907d61c6b190e0ccf67b78a,47.6126,107.0219496
6907d61c6b190e0ccf67b78b,51.667293,19.93565
6907d61c6b190e0ccf67b78c,24.9104797,69.3504869
6907d61c6b190e0ccf67b78d,14.6333602,104.373372
6907d61c6b190e0ccf67b78e,60.5734263,15.6105128
6907d61c6b190e0ccf67b78f,32.224808,110.228747
